Category,Question,Number,Answers,
science,How many colors are there in a rainbow,2,seven,7
science,Who invented the electric light blub,2,Thomas Edison,Edison
science,Which type of elephant has the largest ears,1,African,
science,Who invented the telephone,2,Alexander Graham Bell,Bell
science,Who discovered penicillin,2,Fleming,Alexander Fleming
science,Which planet is nearest the sun,1,Mercury,
science,Earth is located in which galaxy,1,Milky Way Galaxy,
science,Stratus cirrus cumulus and nimbus are types of what,2,cloud,clouds
science,What is the driest desert on Earth the Sahara the Kalahari or the Atacama,1,Atacama,
science,An anemometer is used to measure what,1,wind,
